"pointid","grid_code","PRESENCE","Longitude","Latitude"
"329","1","1",179.015064663946,-16.473229751702
"330","1","1",179.035064663946,-16.473229751702
"331","1","1",179.715064663946,-16.473229751702
"332","1","1",179.725064663946,-16.473229751702
"333","1","1",179.735064663946,-16.473229751702
"334","1","1",179.915064663946,-16.473229751702
"335","1","1",179.925064663946,-16.473229751702
"336","1","1",179.945064663946,-16.473229751702
"337","1","1",179.955064663946,-16.473229751702
"338","1","1",-179.764935336054,-16.483229751702
"339","1","1",-179.484935336054,-16.483229751702
"340","1","1",179.725064663946,-16.483229751702
"341","1","1",179.995064663946,-16.483229751702
"342","1","1",-179.914935336054,-16.493229751702
"343","1","1",179.715064663946,-16.493229751702
"344","1","1",179.925064663946,-16.493229751702
"345","1","1",-179.934935336054,-16.503229751702
"346","1","1",-179.924935336054,-16.503229751702
"347","1","1",178.745064663946,-16.503229751702
"348","1","1",179.985064663946,-16.503229751702
"349","1","1",-179.634935336054,-16.513229751702
"350","1","1",178.645064663946,-16.513229751702
"351","1","1",178.685064663946,-16.513229751702
"352","1","1",179.635064663946,-16.513229751702
"353","1","1",179.975064663946,-16.513229751702
"354","1","1",-179.934935336054,-16.523229751702
"355","1","1",-179.474935336054,-16.523229751702
"356","1","1",178.665064663946,-16.523229751702
"357","1","1",179.935064663946,-16.523229751702
"358","1","1",-179.924935336054,-16.533229751702
"359","1","1",-179.664935336054,-16.533229751702
"360","1","1",-179.474935336054,-16.533229751702
"361","1","1",178.735064663946,-16.533229751702
"362","1","1",178.765064663946,-16.533229751702
"363","1","1",179.905064663946,-16.533229751702
"364","1","1",179.945064663946,-16.533229751702
"365","1","1",178.605064663946,-16.543229751702
"366","1","1",178.625064663946,-16.543229751702
"367","1","1",178.665064663946,-16.543229751702
"368","1","1",178.725064663946,-16.543229751702
"369","1","1",178.765064663946,-16.543229751702
"370","1","1",179.645064663946,-16.543229751702
"371","1","1",179.975064663946,-16.543229751702
"372","1","1",-179.434935336054,-16.553229751702
"373","1","1",179.575064663946,-16.553229751702
"374","1","1",-179.474935336054,-16.563229751702
"375","1","1",-179.394935336054,-16.563229751702
"376","1","1",-179.384935336054,-16.563229751702
"377","1","1",-179.374935336054,-16.563229751702
"378","1","1",178.635064663946,-16.563229751702
"379","1","1",178.685064663946,-16.563229751702
"380","1","1",178.695064663946,-16.563229751702
"381","1","1",179.575064663946,-16.563229751702
"382","1","1",-179.474935336054,-16.573229751702
"383","1","1",-179.364935336054,-16.573229751702
"384","1","1",178.605064663946,-16.573229751702
"385","1","1",178.615064663946,-16.573229751702
"386","1","1",178.625064663946,-16.573229751702
"387","1","1",178.685064663946,-16.573229751702
"388","1","1",-179.464935336054,-16.583229751702
"389","1","1",-179.364935336054,-16.583229751702
"390","1","1",-179.354935336054,-16.583229751702
"391","1","1",178.545064663946,-16.583229751702
"392","1","1",178.655064663946,-16.583229751702
"393","1","1",179.565064663946,-16.583229751702
"394","1","1",179.575064663946,-16.583229751702
"395","1","1",179.615064663946,-16.583229751702
"396","1","1",179.965064663946,-16.583229751702
"397","1","1",-179.434935336054,-16.593229751702
"398","1","1",-179.364935336054,-16.593229751702
"399","1","1",178.535064663946,-16.593229751702
"400","1","1",178.555064663946,-16.593229751702
"401","1","1",178.605064663946,-16.593229751702
"402","1","1",178.705064663946,-16.593229751702
"403","1","1",-179.504935336054,-16.603229751702
"404","1","1",-179.424935336054,-16.603229751702
"405","1","1",-179.374935336054,-16.603229751702
"406","1","1",178.585064663946,-16.603229751702
"407","1","1",178.605064663946,-16.603229751702
"408","1","1",178.615064663946,-16.603229751702
"409","1","1",178.655064663946,-16.603229751702
"410","1","1",-179.384935336054,-16.613229751702
"411","1","1",178.585064663946,-16.613229751702
