"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Protected_Areas"
0,147.625,-19.0416666666667,5228,35.1719627380371,22.8392715454102,28.1268520355225,5.28758144378662,0.228929117321968,-40,0.0199999995529652,0.600000023841858,-46,38,0.479999989271164,5
0,147.708333333333,-19.0416666666667,5229,35.1719512939453,22.9063816070557,27.8622760772705,4.95589399337769,0.188529893755913,-46,0.0199999995529652,0.340000003576279,-54,45,0.400000005960464,5
0,147.791666666667,-19.0416666666667,5230,35.1731491088867,22.7830829620361,28.1673984527588,5.3843150138855,0.18073371052742,-45,0.0199999995529652,-0.209999993443489,-55,52,0.129999995231628,5
0,147.875,-19.0416666666667,5231,35.1747779846191,22.9143142700195,27.8285503387451,4.9142370223999,0.186812832951546,-40,0.0399999991059303,-0.170000001788139,-49,59,0.159999996423721,5
0,147.958333333333,-19.0416666666667,5232,35.1768913269043,22.8761940002441,27.8677997589111,4.99160528182983,0.22000153362751,-1,0.0500000007450581,0.170000001788139,-24,67,0.0399999991059303,5
0,148.041666666667,-19.0416666666667,5233,35.2708015441895,22.877815246582,27.8355979919434,4.95778179168701,0.242977246642113,-13,0.0299999993294477,-0.560000002384186,-18,75,0.419999986886978,5
0,148.125,-19.0416666666667,5234,35.2723999023438,22.9102439880371,27.5823383331299,4.67209386825562,0.255352884531021,-7,0.0199999995529652,0.0700000002980232,-8,82,0.28999999165535,5
0,148.208333333333,-19.0416666666667,5235,35.275016784668,22.910005569458,27.5779933929443,4.66798734664917,0.367038160562515,-1,0.0399999991059303,-0.00999999977648258,-24,86,0.720000028610229,5
0,148.291666666667,-19.0416666666667,5236,35.2794227600098,22.9064750671387,27.5622482299805,4.65577268600464,0.382702648639679,-21,0.0299999993294477,-0.159999996423721,-12,91,0.740000009536743,5
0,148.375,-19.0416666666667,5237,35.280933380127,22.8389511108398,27.6500968933105,4.8111457824707,0.388704240322113,-21,0.0199999995529652,0.0199999995529652,-7,97,0.639999985694885,4.06735090765305
0,148.458333333333,-19.0416666666667,5238,35.2827606201172,22.9530391693115,27.1386985778809,4.18565893173218,0.537881016731262,-14,0.00999999977648258,0.119999997317791,-8,103,0.680000007152557,4.51241906776602
0,148.541666666667,-19.0416666666667,5239,35.2839889526367,22.987771987915,27.0254058837891,4.03763294219971,0.580119609832764,-10,0.0199999995529652,-0.119999997317791,-8,105,0.330000013113022,3.96210729048351
0,148.625,-19.0416666666667,5240,35.2863349914551,22.9280776977539,27.4481678009033,4.5200891494751,0.739583849906921,-45,0.0199999995529652,0.00999999977648258,-11,106,0.769999980926514,2.48644383853964
0,148.708333333333,-19.0416666666667,5241,35.28955078125,22.9734745025635,27.0458965301514,4.07242155075073,0.739984333515167,-14,0.0299999993294477,0.389999985694885,-15,108,0.740000009536743,2
0,148.791666666667,-19.0416666666667,5242,35.4036064147949,22.9450416564941,26.1033458709717,3.15830445289612,0.652895867824554,-55,0.0500000007450581,-0.0199999995529652,-35,111,0.660000026226044,2
0,148.875,-19.0416666666667,5243,35.6309242248535,19.1187191009521,20.8669471740723,1.74822819232941,0.126394018530846,-55,0.100000001490116,0.300000011920929,-48,112,0.829999983310699,2.93606037343092
0,148.958333333333,-19.0416666666667,5244,35.5576477050781,17.3466053009033,18.8707122802734,1.52410662174225,0.150440886616707,-64,0.109999999403954,0.540000021457672,-153,112,0.829999983310699,3.42079857142858
0,149.041666666667,-19.0416666666667,5245,35.3999099731445,16.6916828155518,18.1681957244873,1.47651398181915,0.150039196014404,-75,0.0799999982118607,0.360000014305115,-213,113,0.930000007152557,4.46248288101361
0,149.125,-19.0416666666667,5246,35.4006195068359,15.6095104217529,17.1676559448242,1.55814528465271,0.140424355864525,-184,0.0700000002980232,0.180000007152557,-257,115,0.930000007152557,3.95768375707
0,149.208333333333,-19.0416666666667,5247,35.4028358459473,14.2740774154663,16.0723285675049,1.79825043678284,0.122330367565155,-237,0.0599999986588955,0.28999999165535,-263,117,0.370000004768372,2.48246401060834
0,149.291666666667,-19.0416666666667,5248,35.0997314453125,11.1295251846313,13.2682018280029,2.13867688179016,0.116816624999046,-273,0.0700000002980232,0.699999988079071,-358,119,0.639999985694885,2
0,149.375,-19.0416666666667,5249,35.1007194519043,11.163067817688,13.3152742385864,2.1522068977356,0.0980757474899292,-319,0.0500000007450581,-0.0399999991059303,-385,123,0.980000019073486,2
