"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","BO_bathymax","MS_bathy_5m","Protected_Areas"
0,147.375,-13.375,329,34.7202796936035,1.59950649738312,1.63930761814117,0.0398010648787022,0.149663969874382,0.28999999165535,0.550000011920929,256,0.769999980926514,-2902,-3081,4
0,147.458333333333,-13.375,330,34.7167015075684,1.55054068565369,1.57768797874451,0.0271472558379173,0.129366829991341,0.439999997615814,0.569999992847443,264,0.810000002384186,-3171,-3449,4
0,147.541666666667,-13.375,331,34.7168121337891,1.5505348443985,1.57790398597717,0.0273690912872553,0.12282982468605,0.310000002384186,0.5,272,0.860000014305115,-3435,-3796,4
0,147.625,-13.375,332,34.7168121337891,1.5445476770401,1.56604695320129,0.0214993879199028,0.125056743621826,0.150000005960464,0.259999990463257,280,0.600000023841858,-3625,-4004,4
0,147.708333333333,-13.375,333,34.7168121337891,1.54293012619019,1.56518423557281,0.0222540516406298,0.122210539877415,0.0700000002980232,-0.0700000002980232,288,0.569999992847443,-3863,-3997,4
0,147.791666666667,-13.375,334,34.7168121337891,1.54281938076019,1.56505250930786,0.0222331564873457,0.119021810591221,0.119999997317791,0.790000021457672,296,0.109999999403954,-3977,-4130,4
0,147.875,-13.375,335,34.7168121337891,1.54281914234161,1.56505227088928,0.0222331304103136,0.118303194642067,0.0599999986588955,0.0700000002980232,304,-0.479999989271164,-4053,-4185,4
0,147.958333333333,-13.375,336,34.7169227600098,1.53955769538879,1.56044721603394,0.0208895225077868,0.117444276809692,0.0500000007450581,0.879999995231628,312,0.150000005960464,-4154,-4242,4
0,148.041666666667,-13.375,337,34.7185935974121,1.53959667682648,1.56048834323883,0.0208916533738375,0.117878794670105,0.0299999993294477,0.370000004768372,321,0.0500000007450581,-4227,-4284,4
0,148.125,-13.375,338,34.7185935974121,1.53955888748169,1.56044852733612,0.0208896193653345,0.120343558490276,0.0199999995529652,0.340000003576279,329,-0.810000002384186,-4244,-4298,4
0,148.208333333333,-13.375,339,34.7185935974121,1.5395575761795,1.56044709682465,0.0208895299583673,0.124275460839272,0.0199999995529652,0.560000002384186,337,-0.340000003576279,-4299,-4316,4
